,2cubes_sphere,apache2,bmw7st_1,bmwcra_1,bundle_adj,cfd2,crankseg_2,Dubcova3,ecology2,hood,ldoor,msdoor,m_t1,nd12k,nd24k,parabolic_fem,PFlow_742,pwtk,raefsky4,thermal2,thermomech_dM,tmt_sym,vanbody,x104
baseline,312.919117,882.307769,38.629172,252.885578,2.751212,139.563798,222.285315,3.076112,65.04519,23.501349,288.619576,52.529455,78.926867,3058.768006,12715.524216,25.750824,7186.074704,83.796138,7.513959,56.949375,2.013917,40.437456,3.154904,57.392589
DPQ,21.040715,230.924502,15.25642,19.932523,90.249949,18.498135,8.953745,22.713353,171.534422,26.398902,109.118231,46.831712,9.299314,15.211293,44.452758,92.990518,123.011059,23.329109,2.00699,207.68482,32.917391,120.141628,5.487267,9.13391
InstQ_DPQ,6.628863,23.954059,5.530377,12.807677,6.177335,6.999965,7.360222,1.526525,6.689338,5.88672,28.80181,11.74484,6.44616,15.155474,44.359241,4.863853,79.009953,9.932827,1.208656,9.276505,1.268642,5.381769,1.488349,5.330103
InstQ_TPQ_DPQ,5.343296,19.344246,4.114305,9.547375,2.450862,5.400577,5.672817,1.219749,5.769081,4.36331,21.913306,8.661866,4.833737,14.743455,42.928538,4.161844,64.804718,7.482509,0.863632,8.180484,1.088757,4.724537,1.041792,4.163481
