,2cubes_sphere,apache2,bmw7st_1,bmwcra_1,bundle_adj,cfd2,crankseg_2,Dubcova3,ecology2,hood,ldoor,msdoor,m_t1,nd12k,nd24k,parabolic_fem,PFlow_742,pwtk,raefsky4,thermal2,thermomech_dM,tmt_sym,vanbody,x104
baseline,312.919117,882.307769,38.629172,252.885578,2.751212,139.563798,222.285315,3.076112,65.04519,23.501349,288.619576,52.529455,78.926867,3058.768006,12715.524216,25.750824,7186.074704,83.796138,7.513959,56.949375,2.013917,40.437456,3.154904,57.392589
xMath,5.30642,19.036296,3.975322,9.419618,2.349586,5.30324,5.607604,1.170352,5.591871,4.143735,21.30589,8.331827,4.689433,15.144276,44.425054,3.988477,65.350953,7.332097,0.849094,7.861224,1.057323,4.591341,1.010295,4.045954
xMathCombined,6.658988,24.942316,6.174551,12.651063,5.148513,7.553936,7.001048,1.80429,7.659688,6.570908,31.495986,12.889383,7.044056,14.965094,42.763712,5.898217,77.948666,11.002026,1.278027,11.151636,1.57053,6.581375,1.657908,6.649805
swCHOLBLAS,5.343296,19.344246,4.114305,9.547375,2.450862,5.400577,5.672817,1.219749,5.769081,4.36331,21.913306,8.661866,4.833737,14.743455,42.928538,4.161844,64.804718,7.482509,0.863632,8.180484,1.088757,4.724537,1.041792,4.163481
