,2cubes_sphere,apache2,bmw7st_1,bmwcra_1,bundle_adj,cfd2,crankseg_2,Dubcova3,ecology2,hood,ldoor,msdoor,m_t1,nd12k,nd24k,parabolic_fem,PFlow_742,pwtk,raefsky4,thermal2,thermomech_dM,tmt_sym,vanbody,x104
baseline,312.919117,882.307769,38.629172,252.885578,2.751212,139.563798,222.285315,3.076112,65.04519,23.501349,288.619576,52.529455,78.926867,3058.768006,12715.524216,25.750824,7186.074704,83.796138,7.513959,56.949375,2.013917,40.437456,3.154904,57.392589
CHOLMOD,3.274459,11.79988,2.694447,6.605277,0.992514,4.127076,4.51697,0.655291,3.841294,2.811157,14.379881,5.604603,3.783339,5.269925,13.19897,2.526276,35.744121,5.600411,0.655738,4.858221,0.613973,3.102928,0.734129,3.114827
swCholesky,3.157201,8.290196,1.972552,4.103411,1.60776,2.465898,3.30173,0.547345,2.038767,1.903378,9.066313,3.571092,2.413986,11.078346,31.453951,1.5623,34.865989,3.75944,0.457737,3.142953,0.395842,1.865935,0.534962,2.078796
