,2cubes_sphere,apache2,bmw7st_1,bmwcra_1,bundle_adj,cfd2,crankseg_2,Dubcova3,ecology2,hood,ldoor,msdoor,m_t1,nd12k,nd24k,parabolic_fem,PFlow_742,pwtk,raefsky4,thermal2,thermomech_dM,tmt_sym,vanbody,x104
baseline,312.919117,882.307769,38.629172,252.885578,2.751212,139.563798,222.285315,3.076112,65.04519,23.501349,288.619576,52.529455,78.926867,3058.768006,12715.524216,25.750824,7186.074704,83.796138,7.513959,56.949375,2.013917,40.437456,3.154904,57.392589
levelset,24.467721,262.204105,21.76878,24.677547,150.731238,23.710512,11.065943,26.464765,232.61188,33.808657,145.947349,62.381673,13.07543,19.475796,45.82779,109.808494,138.73323,34.185802,2.709691,257.427349,41.381884,151.872907,7.229444,13.653591
hlevelset,25.096428,285.940559,21.053606,25.222384,165.311739,23.412833,11.425605,27.721754,251.627296,34.810622,148.41601,63.310859,12.753638,19.067442,52.757609,118.053422,149.127917,31.565123,2.761153,276.629729,44.815418,165.03074,7.282649,13.429329
swCholesky,5.343296,19.344246,4.114305,9.547375,2.450862,5.400577,5.672817,1.219749,5.769081,4.36331,21.913306,8.661866,4.833737,14.743455,42.928538,4.161844,64.804718,7.482509,0.863632,8.180484,1.088757,4.724537,1.041792,4.163481
